Date,Continent_Name,Two_Letter_Country_Code,Country_Region,Province_State,positive,hospitalized,recovered,death,total_tested,active,hospitalizedCurr,daily_tested,daily_positive
1/22/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
1/23/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
1/24/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
1/25/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
1/26/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
1/27/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
1/28/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
1/29/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
1/30/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
1/31/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
2/1/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
2/2/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
2/3/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
2/4/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
2/5/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
2/6/2020,North America,US,United States,All States,1,0,0,0,1,0,0,0,0
2/7/2020,North America,US,United States,All States,2,0,0,0,2,0,0,1,1
2/8/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/9/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/10/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/11/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/12/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/13/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/14/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/15/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/16/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/17/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/18/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/19/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/20/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/21/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/22/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/23/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/24/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/25/2020,North America,US,United States,All States,2,0,0,0,2,0,0,0,0
2/26/2020,North America,US,United States,All States,2,0,0,2,2,0,0,0,0
2/27/2020,North America,US,United States,All States,2,0,0,2,2,0,0,0,0
2/28/2020,North America,US,United States,All States,9,0,0,4,9,0,0,7,7
2/29/2020,North America,US,United States,All States,18,0,0,5,41,0,0,32,9
3/1/2020,North America,US,United States,All States,44,0,0,8,125,0,0,0,0
3/2/2020,North America,US,United States,All States,84,0,0,11,313,0,0,188,40
3/3/2020,North America,US,United States,All States,126,0,0,14,559,0,0,246,42
3/4/2020,North America,US,United States,All States,259,0,0,16,1651,0,0,0,0
3/5/2020,North America,US,United States,All States,357,0,0,20,2271,0,0,0,0
3/6/2020,North America,US,United States,All States,455,0,0,26,3044,0,0,0,0
3/7/2020,North America,US,United States,All States,613,0,0,27,3837,0,0,0,0
3/8/2020,North America,US,United States,All States,789,0,0,31,4694,0,0,857,176
3/9/2020,North America,US,United States,All States,1042,0,0,35,6451,0,0,1757,253
3/10/2020,North America,US,United States,All States,1371,0,0,37,8941,0,0,2490,329
3/11/2020,North America,US,United States,All States,1813,0,0,43,12749,0,0,3808,442
3/12/2020,North America,US,United States,All States,2390,0,0,51,17996,0,0,0,0
3/13/2020,North America,US,United States,All States,3320,0,0,55,27157,0,0,9161,930
3/14/2020,North America,US,United States,All States,4110,0,0,63,31732,0,0,4575,790
3/15/2020,North America,US,United States,All States,5188,0,0,77,39332,0,0,7600,1078
3/16/2020,North America,US,United States,All States,6650,0,0,98,57173,0,0,0,0
3/17/2020,North America,US,United States,All States,8863,0,0,120,72856,0,0,15683,2213
3/18/2020,North America,US,United States,All States,11582,0,0,145,97590,0,0,24734,2719
3/19/2020,North America,US,United States,All States,15967,0,0,189,125261,0,0,27671,4385
3/20/2020,North America,US,United States,All States,21809,0,0,253,161543,0,0,36282,5842
3/21/2020,North America,US,United States,All States,28306,0,0,306,206427,0,0,44884,6497
3/22/2020,North America,US,United States,All States,37215,0,0,437,250771,0,0,44344,8909
3/23/2020,North America,US,United States,All States,48143,0,0,521,308368,0,0,57597,10928
3/24/2020,North America,US,United States,All States,58370,0,0,725,376822,0,0,68454,10227
3/25/2020,North America,US,United States,All States,70648,0,0,953,460368,0,0,83546,12278
3/26/2020,North America,US,United States,All States,87903,0,0,1231,561433,0,0,101065,17255
3/27/2020,North America,US,United States,All States,106545,0,0,1604,664369,0,0,102936,18642
3/28/2020,North America,US,United States,All States,125743,0,0,2038,768822,0,0,104453,19198
3/29/2020,North America,US,United States,All States,145077,0,0,2527,856443,0,0,87621,19334
3/30/2020,North America,US,United States,All States,166410,0,0,3060,974054,0,0,117611,21333
3/31/2020,North America,US,United States,All States,190884,0,0,3877,1085125,0,0,111071,24474
4/1/2020,North America,US,United States,All States,216029,0,0,4823,1192708,0,0,107583,25145
4/2/2020,North America,US,United States,All States,244152,0,0,5924,1310571,0,0,117863,28123
4/3/2020,North America,US,United States,All States,276048,0,0,7112,1443119,0,0,132548,31896
4/4/2020,North America,US,United States,All States,309386,0,0,8487,1671598,0,0,228479,33338
4/5/2020,North America,US,United States,All States,335112,0,0,9714,1790934,0,0,119336,25726
4/6/2020,North America,US,United States,All States,12924,0,0,0,41123,0,0,0,0
4/6/2020,North America,US,United States,All States,363220,0,0,0,1961953,0,0,0,0
4/6/2020,North America,US,United States,All States,727131,0,0,0,3904087,0,0,0,0
4/7/2020,North America,US,United States,All States,13343,0,0,0,44121,0,0,2998,419
4/7/2020,North America,US,United States,All States,395784,0,0,0,2096564,0,0,134611,32564
4/7/2020,North America,US,United States,All States,790178,0,0,0,4191603,0,0,287516,63047
4/8/2020,North America,US,United States,All States,13883,0,0,0,48495,0,0,4374,540
4/8/2020,North America,US,United States,All States,423164,0,0,0,2206994,0,0,110430,27380
4/8/2020,North America,US,United States,All States,847708,0,0,0,4446264,0,0,254661,57530
4/9/2020,North America,US,United States,All States,14522,0,0,0,52807,0,0,4312,639
4/9/2020,North America,US,United States,All States,458869,0,0,16659,2405156,0,0,165886,34325
4/10/2020,North America,US,United States,All States,15012,0,0,0,57457,0,0,4650,490
4/10/2020,North America,US,United States,All States,493291,0,0,18751,2563144,0,0,157988,34422
4/11/2020,North America,US,United States,All States,16008,0,0,0,62577,0,0,5120,996
4/11/2020,North America,US,United States,All States,524257,0,0,20686,2702391,0,0,139247,30966
4/12/2020,North America,US,United States,All States,552123,0,0,22237,2842944,0,0,140553,27866
4/13/2020,North America,US,United States,All States,17134,0,0,0,69170,0,0,3296,563
4/13/2020,North America,US,United States,All States,577244,0,0,23754,2976165,0,0,133221,25121
4/14/2020,North America,US,United States,All States,603258,0,0,26066,3126907,0,0,150742,26014
4/15/2020,North America,US,United States,All States,18229,0,0,0,75664,0,0,3247,547
4/15/2020,North America,US,United States,All States,633590,0,0,28628,3263634,0,0,136727,30332
